disease	drug	proximity	pval
Arthritis, Gouty	chloramphenicol	2	0.406651710300601
Arthritis, Gouty	chlorcyclizine	2	0.218002487463221
Arthritis, Gouty	chlordiazepoxide	2.61538461538462	0.759578190079335
Arthritis, Gouty	chlorhexidine	3	0.874330169576492
Arthritis, Gouty	chlormerodrin	3	0.957929443693667
Arthritis, Gouty	chlormezanone	2	0.21313749767595
Arthritis, Gouty	chlorobutanol	2	0.400760483613276
Arthritis, Gouty	chloroprocaine	2.5	0.661713655202107
Arthritis, Gouty	chloroquine	2.33333333333333	0.679454089019012
Arthritis, Gouty	chlorothiazide	2.33333333333333	0.567833901767587
Arthritis, Gouty	chlorpheniramine	2.25	0.458598536973062
Arthritis, Gouty	chlorpromazine	2.73076923076923	0.99999976529881
Arthritis, Gouty	chlorpropamide	3	0.864333939053617
Arthritis, Gouty	chlorprothixene	2.91666666666667	0.999985022218005
Arthritis, Gouty	chlorthalidone	3	0.909101586639981
Arthritis, Gouty	chlorzoxazone	3	0.969500272206473
Arthritis, Gouty	cholecalciferol	2	0.477056880824563
Arthritis, Gouty	cholecystokinin	2.16666666666667	0.659362914784175
Arthritis, Gouty	cholesterol	2	0.34713170826282
Arthritis, Gouty	choline	2.28571428571429	0.365211409132272
Arthritis, Gouty	choline magnesium trisalicylate	2.5	0.857332255929805
Arthritis, Gouty	choline salicylate	2.28571428571429	0.404236869412642
Arthritis, Gouty	chondroitin sulfate	2.5	0.94688472406232
Arthritis, Gouty	choriogonadotropin alfa	2.5	0.804351533115202
Arthritis, Gouty	chorionic gonadotropin (human)	3	0.914654683223249
Arthritis, Gouty	chromic chloride	2	0.486763653916884
Arthritis, Gouty	chromic nitrate	2	0.374957161283911
Arthritis, Gouty	chromium	2	0.348782706757389
Arthritis, Gouty	chromium gluconate	2	0.337981481399644
Arthritis, Gouty	chromium nicotinate	2	0.370072067902287
Arthritis, Gouty	chromous sulfate	2	0.370072067902287
Arthritis, Gouty	chymopapain	2	0.242497250706788
Arthritis, Gouty	ciclesonide	2	0.599239516386724
Arthritis, Gouty	ciclopirox	2	0.5
Arthritis, Gouty	cilastatin	3	0.804647084165173
Arthritis, Gouty	cilazapril	2	0.222876455360642
Arthritis, Gouty	cilostazol	2	0.361465072788483
Arthritis, Gouty	cimetidine	3	0.623012702429204
Arthritis, Gouty	cinacalcet	2	0.293290868807751
Arthritis, Gouty	cinchocaine	2.33333333333333	0.644567130969936
Arthritis, Gouty	cinnarizine	2.8125	0.999889411823707
Arthritis, Gouty	ciprofibrate	2	0.556515707849836
Arthritis, Gouty	ciprofloxacin	2	0.454795947408348
Arthritis, Gouty	cisapride	2.5	0.807594028612759
Arthritis, Gouty	cisatracurium	4	0.991551587101479
Arthritis, Gouty	cisplatin	2	0.302058790150911
Arthritis, Gouty	citalopram	2	0.208205291332311
Arthritis, Gouty	citric acid	2.31818181818182	0.484567634195951
Arthritis, Gouty	citrulline	2.33333333333333	0.518989287659689
Arthritis, Gouty	cladribine	2	0.174894562825234
Arthritis, Gouty	clarithromycin	2	0.37717487214748
Arthritis, Gouty	clemastine	2	0.217538793096214
Arthritis, Gouty	clenbuterol	2.4	0.815458485255824
Arthritis, Gouty	clevidipine	2.5	0.716974885392917
Arthritis, Gouty	clidinium	3	0.8888043172891
Arthritis, Gouty	clobazam	2.61538461538462	0.751042920609292
Arthritis, Gouty	clobetasol propionate	2	0.569452950120241
Arthritis, Gouty	clobetasone	2	0.569452950120241
Arthritis, Gouty	clocortolone	2	0.590280184349119
Arthritis, Gouty	clodronic acid	2	0.564207200948631
Arthritis, Gouty	clofarabine	2	0.391289447022351
Arthritis, Gouty	clofazimine	2	0.21268534215561
Arthritis, Gouty	clofedanol	2	0.222876455360642
Arthritis, Gouty	clofibrate	2	0.516936005300029
Arthritis, Gouty	clomifene	2	0.657315717039737
Arthritis, Gouty	clomipramine	2.66666666666667	0.99204420750754
Arthritis, Gouty	clonazepam	2.53333333333333	0.640239757965007
Arthritis, Gouty	clonidine	3	0.999851280530243
Arthritis, Gouty	clopidogrel	3	0.634966977915073
Arthritis, Gouty	clorazepic acid	2.57142857142857	0.539166542365661
Arthritis, Gouty	clotiazepam	2.53846153846154	0.649868374702524
Arthritis, Gouty	clotrimazole	2	0.221142359789489
Arthritis, Gouty	clove oil	2.5	0.985960148500056
Arthritis, Gouty	clozapine	2.85185185185185	0.999999999323517
Arthritis, Gouty	coagulation factor ix (recombinant)	2.28571428571429	0.807536563253081
Arthritis, Gouty	coagulation factor ix human	2.28571428571429	0.836556609854816
Arthritis, Gouty	coagulation factor vii human	2.33333333333333	0.484745472983471
Arthritis, Gouty	coagulation factor viia recombinant human	2.5	0.877350465737885
Arthritis, Gouty	cobimetinib	2	0.522943119175437
Arthritis, Gouty	cocaine	2.55555555555556	0.919264515459348
Arthritis, Gouty	coccidioides immitis spherule	2	0.187325235276073
Arthritis, Gouty	codeine	2	0.25533457326006
Arthritis, Gouty	colchicine	2	0.580471939347127
Arthritis, Gouty	collagenase clostridium histolyticum	2.25	0.927224286418225
Arthritis, Gouty	conestat alfa	2.33333333333333	0.836014110588681
Arthritis, Gouty	conivaptan	2.5	0.754728197170023
Arthritis, Gouty	conjugated estrogens	2	0.704060482904256
Arthritis, Gouty	copanlisib	2	0.344044106225632
Arthritis, Gouty	copper	2.15441176470588	0.827470237649841
Arthritis, Gouty	corifollitropin alfa	2	0.35503595890891
Arthritis, Gouty	corticorelin ovine triflutate	3	0.940486698585862
Arthritis, Gouty	corticotropin	2.5	0.55132022761572
Arthritis, Gouty	cortisone acetate	2	0.607564331445103
Arthritis, Gouty	creatine	2.28571428571429	0.532022828089795
Arthritis, Gouty	crisaborole	2	0.100580477582172
Arthritis, Gouty	crizanlizumab	3	0.976866046149277
Arthritis, Gouty	crizotinib	2	0.5
Arthritis, Gouty	crofelemer	2	0.234228039354347
Arthritis, Gouty	cromoglicic acid	2.5	0.94931114627627
Arthritis, Gouty	crotalus adamanteus antivenin	3	0.754537219266652
Arthritis, Gouty	cryptenamine	3	0.998608383572861
Arthritis, Gouty	cupric chloride	2.5	0.868697291073363
Arthritis, Gouty	curcumin	2	0.338716238498094
Arthritis, Gouty	cyanocobalamin	2.66666666666667	0.868717500324448
Arthritis, Gouty	cyclandelate	3	0.923893578146534
Arthritis, Gouty	cyclizine	2.5	0.725836560008391
Arthritis, Gouty	cyclobenzaprine	2.44444444444444	0.934190037016779
Arthritis, Gouty	cyclopentolate	3	0.845320610363501
Arthritis, Gouty	cyclophosphamide	2	0.424072650566491
Arthritis, Gouty	cyclosporine	2	0.298370715151563
Arthritis, Gouty	cyclothiazide	2.8	0.977203947618528
Arthritis, Gouty	cycrimine	3	0.878848306220981
Arthritis, Gouty	cyproheptadine	2.71428571428571	0.99868262728877
Arthritis, Gouty	cyproterone acetate	2	0.392435668554897
Arthritis, Gouty	cysteamine	3	0.940794340449213
Arthritis, Gouty	cysteine	2.23076923076923	0.469882784893514
Arthritis, Gouty	cystine	2.66666666666667	0.688098195819048
Arthritis, Gouty	cytarabine	2	0.326246671503714
Arthritis, Gouty	d-alpha-tocopherol acetate	2	0.137122385058348
Arthritis, Gouty	d-methionine	2	0.398789028222759
Arthritis, Gouty	d-serine	2	0.377940582532638
Arthritis, Gouty	dabigatran etexilate	2	0.454795947408348
Arthritis, Gouty	dabrafenib	2	0.343533297520021
Arthritis, Gouty	dacarbazine	2	0.469190991530425
Arthritis, Gouty	dacomitinib	1	0.0552969427903502
Arthritis, Gouty	dactinomycin	2	0.477056880824563
Arthritis, Gouty	dalfampridine	2.64285714285714	0.990638931881311
Arthritis, Gouty	dalteparin	2.75	0.996557818627644
Arthritis, Gouty	damoctocog alfa pegol	2	0.314940478733754
Arthritis, Gouty	danaparoid	3	0.969500272206473
Arthritis, Gouty	danazol	2.2	0.772238950036182
Arthritis, Gouty	dantrolene	2	0.332054137048752
Arthritis, Gouty	dapiprazole	3	0.99689248402774
Arthritis, Gouty	daratumumab	3	0.961685806645801
Arthritis, Gouty	darbepoetin alfa	2	0.467517173550279
Arthritis, Gouty	darifenacin	3	0.983570654663688
Arthritis, Gouty	darolutamide	2	0.61590091449025
Arthritis, Gouty	dasatinib	1.95652173913043	0.219980219033022
Arthritis, Gouty	daunorubicin	2	0.515010203114794
Arthritis, Gouty	debrisoquine	3	0.912440761559609
Arthritis, Gouty	decamethonium	3.25	0.999956077619962
Arthritis, Gouty	decitabine	2	0.556515707849836
Arthritis, Gouty	deferoxamine	2	0.811101348064979
Arthritis, Gouty	defibrotide	3	0.998420072791548
Arthritis, Gouty	deflazacort	2	0.607564331445103
Arthritis, Gouty	degarelix	3	0.807779822009563
Arthritis, Gouty	demecarium	3	0.930510455027226
